ADM2_EN,ADM3_EN,Status,population1991,population2001,population2011,population2022
Sylhet,Bishwanath,Subdistrict,169730,189775,232573,237213
Sylhet,Companiganj,Subdistrict,183351,214652,250579,301310
Sylhet,Companiganj,Subdistrict,85169,113784,174029,192350
Sylhet,Dakshin Surma,Subdistrict,160000,188673,253388,262787
Sylhet,Fenchuganj,Subdistrict,81605,95161,104741,114293
Sylhet,Golabganj,Subdistrict,229074,263945,316149,369833
Sylhet,Gowainghat,Subdistrict,169937,207170,287512,355979
Sylhet,Jaintiapur,Subdistrict,98270,121458,161744,200128
Sylhet,Kanaighat,Subdistrict,178654,216495,263969,317578
Sylhet,Sylhet Sadar,Subdistrict,177000,230589,349266,444914
Sylhet,Zakiganj,Subdistrict,174038,198399,237137,267317
